settlement_ru,district_ru,street_ru,housenumber,current_zone,central_km,bam_km,current_expected_km,in_city_km,outside_city_km,crosses_boundary,reenters_city,first_exit_lonlat,eq_km_A,recalculated_zone_A,qa_flag
Бендеры,Хомутяновка,Киевская улица,6,3,4.6243,3.5945,4.584,4.6209,0.0,False,False,,4.4665,2,zone_move_3->2
Бендеры,Хомутяновка,Киевская улица,7,3,4.6051,3.5752,4.565,4.6016,0.0,False,False,,4.4472,2,zone_move_3->2
Бендеры,Хомутяновка,Киевская улица,8а,3,4.6118,3.5819,4.572,4.6084,0.0,False,False,,4.454,2,zone_move_3->2
Бендеры,Хомутяновка,Киевская улица,9,3,4.5763,3.5464,4.536,4.5728,0.0,False,False,,4.4184,2,zone_move_3->2
Бендеры,Хомутяновка,Киевская улица,10,3,4.4665,3.4366,4.426,4.4634,0.0,False,False,,4.309,2,zone_move_3->2
Бендеры,Хомутяновка,Киевская улица,11,3,4.6919,3.662,4.515,4.6882,0.0,False,False,,4.5338,2,zone_move_3->2
Бендеры,Хомутяновка,Киевская улица,11,3,4.5556,3.5258,4.515,4.5523,0.0,False,False,,4.3979,2,zone_move_3->2
Бендеры,Хомутяновка,Киевская улица,12,3,4.4292,3.3994,4.389,4.4262,0.0,False,False,,4.2718,2,zone_move_3->2
Бендеры,Хомутяновка,Киевская улица,17,3,4.4769,3.447,4.437,4.4737,0.0,False,False,,4.3193,2,zone_move_3->2
Бендеры,Хомутяновка,Киевская улица,19,3,4.4639,3.434,4.424,4.4608,0.0,False,False,,4.3064,2,zone_move_3->2
Бендеры,Хомутяновка,Киевская улица,21,3,4.4469,3.4171,4.407,4.4439,0.0,False,False,,4.2895,2,zone_move_3->2
Бендеры,Хомутяновка,Киевская улица,22/1,3,4.485,3.4551,4.445,4.4818,0.0,False,False,,4.3274,2,zone_move_3->2
Бендеры,Хомутяновка,Киевская улица,23,3,4.3959,3.3896,4.358,4.393,0.0,False,False,,4.2421,2,zone_move_3->2
Бендеры,Хомутяновка,Киевская улица,25,3,4.4245,3.3946,4.384,4.4215,0.0,False,False,,4.2671,2,zone_move_3->2
Бендеры,Хомутяновка,Киевская улица,27,3,4.4511,3.4212,4.411,4.448,0.0,False,False,,4.2936,2,zone_move_3->2
Бендеры,Хомутяновка,Киевская улица,29,3,4.4659,3.4361,4.426,4.4628,0.0,False,False,,4.3084,2,zone_move_3->2
Бендеры,Хомутяновка,Киевская улица,31,3,4.5275,3.4977,4.487,4.5243,0.0,False,False,,4.3699,2,zone_move_3->2
Бендеры,Хомутяновка,Киевская улица,33,3,4.5554,3.5256,4.515,4.5521,0.0,False,False,,4.3977,2,zone_move_3->2
Бендеры,Хомутяновка,Киевская улица,33а,3,4.5396,3.5097,4.499,4.5363,0.0,False,False,,4.3819,2,zone_move_3->2
Бендеры,Хомутяновка,Киевская улица,35,3,4.5744,3.5446,4.534,4.571,0.0,False,False,,4.4166,2,zone_move_3->2
Бендеры,Хомутяновка,Киевская улица,36,3,4.5785,3.5487,4.538,4.5751,0.0,False,False,,4.4207,2,zone_move_3->2
