settlement_ru,district_ru,street_ru,housenumber,current_zone,central_km,bam_km,current_expected_km,in_city_km,outside_city_km,crosses_boundary,reenters_city,first_exit_lonlat,eq_km_A,recalculated_zone_A,qa_flag
Бендеры,Борисовка,Кооперативный тупик,6,2,4.0705,0.7354,3.66,4.066,0.0,False,False,,3.5662,2,
Бендеры,Борисовка,Новый проезд,1/3,4,7.0585,1.4852,6.312,7.0551,0.0,False,False,,6.2193,3,zone_move_4->3
Бендеры,Борисовка,Новый проезд,1а,3,7.0005,1.4272,4.112,6.9971,0.0,False,False,,6.1614,3,
Бендеры,Борисовка,Новый проезд,1а,3,4.5225,1.1874,4.112,4.5177,0.0,False,False,,4.0179,2,zone_move_3->2
Бендеры,Борисовка,Новый проезд,3а,4,6.9281,1.3548,6.182,6.9248,0.0,False,False,,6.0891,3,zone_move_4->3
Бендеры,Борисовка,Новый проезд,4,4,7.027,1.4537,6.281,7.0236,0.0,False,False,,6.1878,3,zone_move_4->3
Бендеры,Борисовка,Новый проезд,5,4,7.0316,1.4583,6.377,7.0282,0.0,False,False,,6.1924,3,zone_move_4->3
Бендеры,Борисовка,Новый проезд,10,4,7.1078,1.5345,6.361,7.1042,0.0,False,False,,6.2685,3,zone_move_4->3
Бендеры,Борисовка,Новый проезд,40,4,6.8819,1.3086,6.136,6.8787,0.0,False,False,,6.0429,2,zone_move_4->2
Бендеры,Борисовка,Новый проезд,46,4,6.8938,1.3205,6.147,6.8905,0.0,False,False,,6.0548,2,zone_move_4->2
Бендеры,Борисовка,Одесская улица,1,2,4.4675,1.1324,4.057,4.4616,0.0,False,False,,3.9618,2,
Бендеры,Борисовка,Одесская улица,3,4,6.7668,1.4177,6.054,6.7635,0.0,False,False,,5.9612,2,zone_move_4->2
Бендеры,Борисовка,Одесская улица,4,3,4.6565,1.3214,4.246,4.6504,0.0,False,False,,4.1506,2,zone_move_3->2
Бендеры,Борисовка,Одесская улица,5,4,6.7179,1.3687,6.005,6.7146,0.0,False,False,,5.9123,2,zone_move_4->2
Бендеры,Борисовка,Одесская улица,6,3,4.722,1.3869,4.311,4.7158,0.0,False,False,,4.216,2,zone_move_3->2
Бендеры,Борисовка,Одесская улица,8,3,4.826,1.4908,4.416,4.8197,0.0,False,False,,4.3199,2,zone_move_3->2
Бендеры,Борисовка,Одесская улица,10,3,4.8966,1.5615,4.095,4.8903,0.0,False,False,,4.3905,2,zone_move_3->2
Бендеры,Борисовка,Одесская улица,12,3,4.9544,1.6193,4.543,4.948,0.0,False,False,,4.4482,2,zone_move_3->2
Бендеры,Борисовка,Одесская улица,14,4,6.6819,1.4724,5.99,6.6784,0.0,False,False,,5.8971,2,zone_move_4->2
Бендеры,Борисовка,Одесская улица,27,4,6.6502,1.301,5.938,6.6471,0.0,False,False,,5.8448,2,zone_move_4->2
Бендеры,Борисовка,Одесская улица,33,2,4.4313,1.0962,4.021,4.4255,0.0,False,False,,3.9257,2,
Бендеры,Борисовка,Одесская улица,35,2,4.457,1.1219,4.046,4.4512,0.0,False,False,,3.9514,2,
Бендеры,Борисовка,Одесская улица,37,3,4.5338,1.1987,4.123,4.5279,0.0,False,False,,4.0281,2,zone_move_3->2
Бендеры,Борисовка,Одесская улица,39,3,4.5732,1.2381,4.162,4.5672,0.0,False,False,,4.0674,2,zone_move_3->2
Бендеры,Борисовка,Одесская улица,67а,3,4.5904,1.2553,4.179,4.5844,0.0,False,False,,4.0846,2,zone_move_3->2
Бендеры,Борисовка,Пионерская улица,7,4,6.4348,2.5513,5.888,6.4308,0.0,False,False,,5.8483,2,zone_move_4->2
Бендеры,Борисовка,Пионерская улица,9,4,6.3028,2.4193,5.81,6.299,0.0,False,False,,5.7165,2,zone_move_4->2
Бендеры,Борисовка,Пионерская улица,15,4,6.4251,2.5416,5.933,6.4211,0.0,False,False,,5.8386,2,zone_move_4->2
Бендеры,Борисовка,Пионерская улица,19,4,6.8098,2.9264,6.317,6.8053,0.0,False,False,,6.2228,3,zone_move_4->3
