settlement,osm_type,osm_id,name,name_ru,name_ro,official_name,alt_name,old_name,ru_display,ru_source,ru_status,road_class,is_address_street,needs_name_classification_review
bender,way,680239003,Bender-Căușeni,Бендеры-Кэушень,Bender-Căușeni,,,,Бендеры-Кэушень,name:ru,ok,intercity,False,False
bender,way,224765321,Strada 27 Aprilie 1990,улица 27 Апреля 1990,Strada 27 Aprilie 1990,,,,улица 27 Апреля 1990,name:ru,ok,address_street,True,False
bender,way,525235554,Strada Pocitarenco,улица Почитаренко,Strada Pocitarenco,,,,улица Почитаренко,name:ru,ok,address_street,True,False
bender,way,44310025,Strada Ștefan cel Mare și Sfânt,улица Штефан чел Маре ши Сфынт,,,,,улица Штефан чел Маре ши Сфынт,local_table,ok,address_street,True,False
bender,way,91850350,Безымянный переулок,Безымянный переулок,Stradela Bezîmianîi,,,,Безымянный переулок,name:ru,ok,address_street,True,False
bender,way,41749666,Бельцкая улица,Бельцкая улица,Strada Bălți,,,,Бельцкая улица,name:ru,ok,address_street,True,False
bender,way,28584679,Бендерский мост,Бендерский мост,Podul pacificatorilor ruși,,,,Бендерский мост,name:ru,ok,bridge,False,False
bender,way,116073592,Братская улица,Братская улица,Strada Bratscaia,,,,Братская улица,name:ru,ok,address_street,True,False
bender,way,165445033,Варницкий переулок,Варницкий переулок,Stradela Varnița,,,,Варницкий переулок,name:ru,ok,address_street,True,False
bender,way,223670457,Варницкий тупик,Варницкий тупик,Fundătura Varnița,,,,Варницкий тупик,name:ru,ok,address_street,True,False
bender,way,87506333,Восточная улица,Восточная улица,Strada Vostocinaia,,,,Восточная улица,name:ru,ok,address_street,True,False
bender,way,96404889,Восточный переулок,Восточный переулок,,,,,Восточный переулок,name:ru,ok,address_street,True,False
bender,way,222655027,Гвардейская улица,Гвардейская улица,Strada Gvardeiscaia,,,,Гвардейская улица,name:ru,ok,address_street,True,False
bender,way,222904315,Гербовецкая улица,Гербовецкая улица,Strada Hîrbovățului,,,,Гербовецкая улица,name:ru,ok,address_street,True,False
bender,way,60739688,Главная улица,Главная улица,Strada Glavnaia,,,,Главная улица,name:ru,ok,address_street,True,False
bender,way,209668181,Глинная улица,Глинная улица,Strada Glinnaia,,,,Глинная улица,name:ru,ok,address_street,True,True
bender,way,525053240,Горка (с ручником),Горка (с ручником),,,,,Горка (с ручником),name:ru,ok,informal,False,True
bender,way,87497012,Дачная улица,Дачная улица,Strada Vilelor,,,,Дачная улица,name:ru,ok,address_street,True,False
bender,way,224953397,Деповская улица,Деповская улица,Strada Depo,,,,Деповская улица,name:ru,ok,address_street,True,False
bender,way,47475966,Донецкая улица,Донецкая улица,Strada Donețk,,,,Донецкая улица,name:ru,ok,address_street,True,False
bender,way,41852355,Дубоссарская улица,Дубоссарская улица,Strada Dubăsari,,,,Дубоссарская улица,name:ru,ok,address_street,True,False
bender,way,45858824,Железнодорожная улица,Железнодорожная улица,,,,улица Александру Хаждеу,Железнодорожная улица,name:ru,ok,address_street,True,False
bender,way,225087000,Железнодорожный тупик,Железнодорожный тупик,,,,,Железнодорожный тупик,name:ru,ok,address_street,True,False
bender,way,491561503,Заводская улица,Заводская улица,Strada Uzinelor,,,,Заводская улица,name:ru,ok,address_street,True,False
bender,way,165943504,Загородная улица,Загородная улица,Strada Zagorodnaia,,,,Загородная улица,name:ru,ok,address_street,True,False
bender,way,87506328,Индустриальная улица,Индустриальная улица,Strada Industrială,,,,Индустриальная улица,name:ru,ok,address_street,True,True
bender,way,223269325,Кагульская улица,Кагульская улица,Strada Cahulului,,,,Кагульская улица,name:ru,ok,address_street,True,False
bender,way,87506350,Карпатская улица,Карпатская улица,Strada Carpați,,,,Карпатская улица,name:ru,ok,address_street,True,False
