control_id,uid,district,target_district,street,housenumber,destination_lat,destination_lon,control_reason,checked_date,yandex_fastest_distance_km,yandex_fastest_duration_min,yandex_alternative_distance_km,yandex_alternative_duration_min,yandex_main_streets,yandex_district_entry,yandex_rail_crossing_or_bridge,matches_owner_corridor,current_zone,current_osrm_km,our_engine_km,expected_entry_our_engine,yandex_minus_osrm_km,yandex_osrm_ratio,calibration_status,owner_review_required
MY-068,w320276673,Кавказ,Хомутяновка,улица 28 Июня,213,46.80377,29.48061,ориентир Молдплодовощ,,,,,,,,,,2,2.3699,,,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-069,w304088449,Хомутяновка,Хомутяновка,улица Бориса Главана,51,46.8176,29.45978,граница Zone2/3; owner-улица улица Бориса Главана,,,,,,,,,,3,4.312,4.1364,Хом-151,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-070,w315109553,Хомутяновка,Хомутяновка,улица Бориса Главана,5а,46.81723,29.45868,граница Zone2/3; owner-улица улица Бориса Главана; ориентир Роддом; ориентир Городская больница,,,,,,,,,,3,4.2761,4.1013,Хом-164 улица Бендерского Восстания,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-071,w222764128,Хомутяновка,Хомутяновка,улица Георге Асаке,8,46.81914,29.46597,дом у въезда Хом-132 (улица Георге Асаке),,,,,,,,,,2,2.4511,2.252,Хом-181 (railway level_crossing),,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-072,w291423975,Хомутяновка,Хомутяновка,улица Дзержинского,36,46.82309,29.47159,3 ближайших к центру; дом у въезда Хом-130 (Московская улица),,,,,,,,,,1,1.2239,1.2203,Хом-130 Московская улица,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-073,w291423977,Хомутяновка,Хомутяновка,улица Дзержинского,38,46.82281,29.47146,3 ближайших к центру,,,,,,,,,,1,1.2567,1.2531,Хом-130 Московская улица,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-074,w222767138,Хомутяновка,Хомутяновка,улица Дзержинского,46,46.82064,29.47059,дом у въезда Хом-136 (улица Дзержинского); дом у въезда Хом-137 (улица Кавриаго),,,,,,,,,,1,1.507,1.4843,Хом-137 улица Кавриаго,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-075,,Хомутяновка,Хомутяновка,улица Ечина,,46.8079775,29.4622386,owner-улица улица Ечина (нет подтверждённых домов — контроль по середине улицы),,,,,,,,,,,3.002,,Хом-153,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-076,w91850356,Хомутяновка,Хомутяновка,улица Интернационалистов,13,46.83078,29.44958,3 самых дальних,,,,,,,,,,4,7.2609,6.3054,Хом-152,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-077,w209273570,Хомутяновка,Хомутяновка,улица Интернационалистов,5,46.83095,29.45104,3 самых дальних,,,,,,,,,,4,7.2531,6.4125,Хом-152,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-078,w209273568,Хомутяновка,Хомутяновка,улица Интернационалистов,9,46.83078,29.45037,3 самых дальних,,,,,,,,,,4,7.3109,6.4693,Хом-152,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-079,w47467972,Ленинский,Хомутяновка,улица Космонавтов,39,46.8003,29.47484,ориентир Пивзавод,,,,,,,,,,2,3.1926,,,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-080,n2337889957,Хомутяновка,Хомутяновка,улица Ломоносова,15,46.82584,29.45095,граница Zone3/4,,,,,,,,,,4,5.8792,5.6486,Хом-172 Луговая улица,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-081,w315807210,Хомутяновка,Хомутяновка,улица Матросова,23,46.82417,29.45747,3 средних,,,,,,,,,,3,5.2701,5.0863,Хом-200 (railway level_crossing),,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-082,w303912209,Балка,Хомутяновка,улица Некрасова,1/Б,46.81575,29.4655,owner-улица улица Некрасова (наш районный ярлык иной),,,,,,,,,,2,2.5124,,,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-083,w209416028,Хомутяновка,Хомутяновка,улица Ползунова,25,46.8265,29.46184,3 средних,,,,,,,,,,3,5.4069,5.2345,Хом-200 (railway level_crossing),,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-084,w352111747,Хомутяновка,Хомутяновка,улица Полоза,2,46.82786,29.45212,граница Zone3/4,,,,,,,,,,4,5.9276,5.7013,Хом-172 Луговая улица,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-085,w315618361,Хомутяновка,Хомутяновка,улица Старого,128,46.82183,29.46083,owner-улица улица Старого,,,,,,,,,,3,4.7868,4.6047,Хом-175 (railway level_crossing),,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-086,w302066911,Хомутяновка,Хомутяновка,улица Старого,25,46.82113,29.46132,owner-улица улица Старого,,,,,,,,,,3,4.7212,4.617,Хом-175 (railway level_crossing),,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
