uid,settlement_ru,district_ru,street_ru,housenumber,current_zone,why,fastest_distance_km,fastest_duration_s,min_alt_distance_km,n_alternatives,straight_line_km,detour_ratio,in_city_km,outside_city_km,snap_distance_m,nearest_road_highway,flags,verdict
n2325366572,Бендеры,Борисовка,Бельцкая улица,98,3,district_Борисовка,4.4891,403.8,4.4891,1,2.018,2.225,4.4833,0.0,5.8,primary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
n2325366573,Бендеры,Борисовка,Бельцкая улица,100,2,district_Борисовка;neighbour_jump_2v4,4.4526,401,4.4526,1,2.054,2.168,4.4469,0.0,6.5,primary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w319139358,Бендеры,Борисовка,Бельцкая улица,104,2,district_Борисовка;neighbour_jump_2v4,4.4391,400,4.4391,1,2.064,2.151,4.4333,0.0,28.7,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w319139372,Бендеры,Борисовка,Бельцкая улица,106,2,district_Борисовка;neighbour_jump_2v4,4.4225,398.8,4.4225,1,2.08,2.127,4.4168,0.0,35.8,primary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
n2337855688,Бендеры,Борисовка,Братская улица,7,2,district_Борисовка,4.1273,403.2,4.1273,0,2.332,1.77,4.1224,0.0,15.3,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w297047299,Бендеры,Борисовка,Братская улица,8,2,district_Борисовка,4.1345,404.3,4.1345,0,2.364,1.749,4.1297,0.0,20.2,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w297047300,Бендеры,Борисовка,Братская улица,10,2,district_Борисовка,4.1552,407.3,4.1552,0,2.357,1.763,4.1503,0.0,19.9,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
n2337855692,Бендеры,Борисовка,Братская улица,11,2,district_Борисовка,4.1498,406.5,4.1498,0,2.325,1.785,4.1449,0.0,15.0,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w319615914,Бендеры,Борисовка,Братская улица,12,2,district_Борисовка,4.1731,409.9,4.1731,0,2.345,1.779,4.1682,0.0,14.1,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
n5682775200,Бендеры,Борисовка,Братская улица,12/1,2,district_Борисовка,4.1794,410.9,4.1794,0,2.348,1.78,4.1745,0.0,18.2,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
n2337855693,Бендеры,Борисовка,Братская улица,13,2,district_Борисовка,4.1953,413.2,4.1953,0,2.311,1.816,4.1904,0.0,15.7,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w319620058,Бендеры,Борисовка,Братская улица,14,2,district_Борисовка,4.1968,413.4,4.1968,0,2.34,1.794,4.1918,0.0,15.2,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
n2325729703,Бендеры,Борисовка,Братская улица,22,2,district_Борисовка,4.4001,403.2,4.4001,1,2.312,1.903,4.3945,0.0,9.8,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
n2325729718,Бендеры,Борисовка,Варницкий тупик,1,3,district_Борисовка,4.5645,432.8,4.5645,1,2.424,1.883,4.5586,0.0,15.3,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w352110120,Бендеры,Борисовка,Варницкий тупик,9,3,district_Борисовка,4.5406,429.4,4.5406,1,2.403,1.89,4.5348,0.0,9.3,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
n2325729715,Бендеры,Борисовка,Варницкий тупик,13,3,district_Борисовка,4.8072,433.2,4.8072,1,2.511,1.914,4.8011,0.0,22.4,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w352667478,Бендеры,Борисовка,Варницкий тупик,14,3,district_Борисовка,4.8179,434.7,4.8179,1,2.508,1.921,4.8118,0.0,17.7,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w352667476,Бендеры,Борисовка,Варницкий тупик,16,3,district_Борисовка,4.7956,431.5,4.7956,1,2.53,1.896,4.7895,0.0,18.3,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
n2337985509,Бендеры,Хомутяновка,Гербовецкая улица,1,3,district_Хомутяновка,5.6548,385.5,5.3955,1,2.553,2.215,5.5175,0.132,27.3,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w352064505,Бендеры,Хомутяновка,Гербовецкая улица,4,3,district_Хомутяновка,5.5325,374.5,5.5325,0,2.429,2.277,5.5275,0.0,28.6,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w352064507,Бендеры,Хомутяновка,Гербовецкая улица,6,3,district_Хомутяновка,5.5546,376.5,5.5546,0,2.451,2.266,5.5496,0.0,29.0,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w352161715,Бендеры,Хомутяновка,Гербовецкая улица,8,3,district_Хомутяновка,5.5698,377.8,5.4804,1,2.466,2.258,5.5175,0.0473,30.4,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w352161714,Бендеры,Хомутяновка,Гербовецкая улица,10,3,district_Хомутяновка,5.588,379.5,5.4622,1,2.484,2.249,5.5175,0.0654,34.0,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w352161713,Бендеры,Хомутяновка,Гербовецкая улица,12,3,district_Хомутяновка,5.6035,380.9,5.4468,1,2.5,2.241,5.5175,0.0808,28.8,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w352161711,Бендеры,Хомутяновка,Гербовецкая улица,14,3,district_Хомутяновка,5.629,383.2,5.4212,1,2.526,2.228,5.5175,0.1063,39.5,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w352161710,Бендеры,Хомутяновка,Гербовецкая улица,16,3,district_Хомутяновка,5.6425,384.4,5.4077,1,2.54,2.222,5.5175,0.1197,27.9,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w352161708,Бендеры,Хомутяновка,Гербовецкая улица,18,3,district_Хомутяновка,5.6594,385.9,5.3908,1,2.556,2.214,5.5175,0.1366,42.0,tertiary,snap_gt_40m;detour_gt_1.5,WRONG_ADDRESS_SNAP
w352161709,Бендеры,Хомутяновка,Гербовецкая улица,20,3,district_Хомутяновка,5.6775,387.5,5.3727,1,2.575,2.205,5.5175,0.1547,29.4,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w352161707,Бендеры,Хомутяновка,Гербовецкая улица,22,3,district_Хомутяновка,5.6977,389.4,5.6977,0,2.594,2.196,5.5175,0.1748,27.9,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w352161706,Бендеры,Хомутяновка,Гербовецкая улица,24,3,district_Хомутяновка,5.7168,391.1,5.7168,0,2.613,2.187,5.5175,0.1938,28.6,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w352161705,Бендеры,Хомутяновка,Гербовецкая улица,26,3,district_Хомутяновка,5.7332,392.5,5.7332,0,2.63,2.18,5.5175,0.2102,39.2,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
