settlement,street_ru,osm_ids,confirmed_addresses,confirmed_residential_buildings,probable_residential_buildings,apartment_buildings,nonresidential_buildings,outbuildings,abandoned_or_ruin,official_web_evidence,civic_or_commercial_pois,connected_to_core,distance_to_core_by_road_km,demand_tier,affects_zone_pricing,service_status,reason
giska,улица Мичурина,223669589;1355154997;1355154998,14,14,49,0,0,0,0,False,2,False,2.083,A,True,standard,confirmed_addresses>=5
giska,улица Победы,223669725;223670592;352362165;962307218;1355154989;1355154990,52,25,162,0,0,0,0,True,0,False,2.399,A,True,standard,confirmed_addresses>=5
giska,улица Суворова,223221669;223970305,48,123,11,0,1,0,0,True,0,True,0.0,A,True,standard,confirmed_addresses>=5
giska,улица Ткаченко,223669347;1355154972;1355154973,17,11,52,0,0,1,0,True,1,False,1.577,A,True,standard,confirmed_addresses>=5
parkany,Заводская улица,701258447,2,7,0,0,0,0,0,False,0,True,0.0,B,True,low_density,low_density_connected_to_core
parkany,Коммунистическая улица,83039143,59,141,18,0,0,0,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
parkany,Комсомольская улица,83039130;728320614;1165666323,192,393,56,0,0,3,0,True,3,True,0.0,A,True,standard,confirmed_addresses>=5
parkany,Красный переулок,83039146,35,71,2,0,0,0,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
parkany,Молодёжная улица,83039106,194,163,54,0,0,2,0,False,1,True,0.0,A,True,standard,confirmed_addresses>=5
parkany,Пионерская улица,83039099,86,203,22,0,0,1,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
parkany,Садовая улица,223442923,158,221,96,0,0,0,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
parkany,Светлая улица,596998110,1,1,4,0,0,0,0,False,0,True,0.0,B,True,low_density,low_density_connected_to_core
parkany,Солнечная улица,288717237;306087881,0,0,23,0,0,0,0,False,0,False,,A,True,standard,residential_buildings>=8
parkany,Степная улица,83039155;238040267,138,122,36,0,0,1,0,False,1,True,0.0,A,True,standard,confirmed_addresses>=5
parkany,улица Анатолия Макалича,238062004;696534321,44,54,24,0,0,2,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
parkany,улица Благоева,83039101;83039116,88,183,20,0,0,0,0,False,4,True,0.0,A,True,standard,confirmed_addresses>=5
parkany,улица Будённого,83039123,54,90,42,0,0,1,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
parkany,улица Ворошилова,83039095,189,424,40,0,0,2,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
parkany,улица Гагарина,83039139,53,110,3,0,0,2,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
parkany,улица Гоголя,257877967;287018457,90,173,19,0,1,0,0,True,1,True,0.0,A,True,standard,confirmed_addresses>=5
parkany,улица Горького,83039137,212,258,157,0,0,0,0,False,1,True,0.0,A,True,standard,confirmed_addresses>=5
parkany,улица Димитрова,83039152;1166183619,55,113,19,0,1,0,0,True,8,True,0.0,A,True,standard,confirmed_addresses>=5
parkany,улица Дружбы,83039115,22,21,13,0,0,0,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
parkany,улица Калинина,83039140,43,98,0,0,0,0,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
parkany,улица Карла Маркса,83039145;287018455;1165666318;1165666319,372,402,323,0,3,4,0,False,9,True,0.0,A,True,standard,confirmed_addresses>=5
parkany,улица Кирова,83039104;439155434,46,45,54,0,0,0,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
parkany,улица Ковалёва,83039118,17,17,29,0,0,3,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
parkany,улица Котовского,83039103;1165666324,245,494,11,0,0,6,0,False,1,True,0.0,A,True,standard,confirmed_addresses>=5
parkany,улица Ленина,43201858;576412267;1165666321,171,389,22,0,1,1,1,True,2,True,0.0,A,True,standard,confirmed_addresses>=5
parkany,улица Маяковского,83039090,44,52,71,0,0,2,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
parkany,улица Мичурина,83039112,208,198,103,0,0,0,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
parkany,улица Петра Николаева,83039117,335,217,180,0,0,0,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
parkany,улица Пушкина,83039138;1292293309,118,268,6,0,0,0,0,True,1,True,0.0,A,True,standard,confirmed_addresses>=5
parkany,улица Романенко,83039094,194,193,87,0,1,2,0,True,1,True,0.0,A,True,standard,confirmed_addresses>=5
parkany,улица Русакова,238031302,101,86,125,0,0,0,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
