canonical_address,full_address_ru,display_address_ru,settlement_ru,district_ru,street_ru,housenumber,coordinate_spread_m,candidate_uid,lon,lat,expected_km,status,resolution,direct_export_eligible
бендеры||улица 12 октября|83,"Бендеры, улица 12 Октября, дом 83",улица 12 Октября,Бендеры,,улица 12 Октября,83,232,w320492333,29.45935,46.84355,4.556,disputed,owner_review_required,False
бендеры||улица 12 октября|2,"Бендеры, улица 12 Октября, дом 2",улица 12 Октября,Бендеры,,улица 12 Октября,2,842,w91848802,29.46099,46.83932,4.315,disputed,owner_review_required,False
бендеры||улица 12 октября|2,"Бендеры, улица 12 Октября, дом 2",улица 12 Октября,Бендеры,,улица 12 Октября,2,842,w209273572,29.46234,46.83173,5.546,disputed,owner_review_required,False
бендеры||улица 12 октября|2,"Бендеры, улица 12 Октября, дом 2",улица 12 Октября,Бендеры,,улица 12 Октября,2,842,w209273625,29.46298,46.83229,5.629,disputed,owner_review_required,False
бендеры||улица 12 октября|2,"Бендеры, улица 12 Октября, дом 2",улица 12 Октября,Бендеры,,улица 12 Октября,2,842,w209273629,29.46305,46.83199,5.55,disputed,owner_review_required,False
бендеры||улица панфилова|6,"Бендеры, улица Панфилова, дом 6",улица Панфилова,Бендеры,,улица Панфилова,6,349,w91848813,29.46175,46.83705,6.109,disputed,owner_review_required,False
бендеры||улица панфилова|6,"Бендеры, улица Панфилова, дом 6",улица Панфилова,Бендеры,,улица Панфилова,6,349,w209267178,29.46634,46.83545,5.743,disputed,owner_review_required,False
бендеры||улица полоза|19,"Бендеры, улица Полоза, дом 19",улица Полоза,Бендеры,,улица Полоза,19,228,w91850347,29.45319,46.82734,5.544,disputed,owner_review_required,False
бендеры||улица полоза|19,"Бендеры, улица Полоза, дом 19",улица Полоза,Бендеры,,улица Полоза,19,228,w352263819,29.45019,46.82885,5.76,disputed,owner_review_required,False
бендеры||улица калинина|17,"Бендеры, улица Калинина, дом 17",улица Калинина (Бендеры),Бендеры,,улица Калинина,17,872,w96821669,29.48163,46.82631,1.335,disputed,owner_review_required,False
бендеры||улица калинина|17,"Бендеры, улица Калинина, дом 17",улица Калинина (Бендеры),Бендеры,,улица Калинина,17,872,w290334251,29.47748,46.81845,1.442,disputed,owner_review_required,False
бендеры||улица титова|10,"Бендеры, улица Титова, дом 10","улица Титова (Бендеры, другой район)",Бендеры,,улица Титова,10,448,w96821716,29.47162,46.84267,3.359,disputed,owner_review_required,False
бендеры||улица титова|10,"Бендеры, улица Титова, дом 10","улица Титова (Бендеры, другой район)",Бендеры,,улица Титова,10,448,w319139365,29.4674,46.83863,3.667,disputed,owner_review_required,False
бендеры||улица титова|8,"Бендеры, улица Титова, дом 8","улица Титова (Бендеры, другой район)",Бендеры,,улица Титова,8,394,w96821747,29.47212,46.84225,3.485,disputed,owner_review_required,False
бендеры||улица титова|8,"Бендеры, улица Титова, дом 8","улица Титова (Бендеры, другой район)",Бендеры,,улица Титова,8,394,w319139361,29.46693,46.8387,3.7,disputed,owner_review_required,False
