uid,district,street,house,current_zone,snap_m,true_shortest_km,current_osrm_km,current_minus_true_km,overstated_gt_10pct,owner_review_required
w317051457,Хомутяновка,Железнодорожная улица,26,3,41.5,5.383,5.597,0.214,False,True
w316645010,Хомутяновка,Железнодорожная улица,27,3,72.0,5.383,5.4932,0.1102,False,True
w316645009,Хомутяновка,Железнодорожная улица,29,3,67.4,5.2472,5.4799,0.2327,False,True
w316645008,Хомутяновка,Железнодорожная улица,31,3,55.0,5.2472,5.4658,0.2186,False,True
w316645007,Хомутяновка,Железнодорожная улица,33,3,41.5,5.2472,5.4516,0.2044,False,True
w316785287,Хомутяновка,Железнодорожная улица,34,3,50.5,5.383,5.5179,0.1349,False,True
w561469641,Хомутяновка,Железнодорожная улица,36,3,65.8,5.383,5.5015,0.1185,False,True
w316758837,Хомутяновка,Железнодорожная улица,38,3,73.4,5.2472,5.4846,0.2374,False,True
w315618139,Хомутяновка,Железнодорожная улица,39,3,36.1,5.2472,5.4452,0.198,False,True
w316758836,Хомутяновка,Железнодорожная улица,40,3,59.0,5.2472,5.4703,0.2231,False,True
w315618140,Хомутяновка,Железнодорожная улица,41,3,48.4,5.2472,5.4591,0.2119,False,True
w316665822,Хомутяновка,Железнодорожная улица,42,3,44.4,5.2472,5.4539,0.2067,False,True
w315618141,Хомутяновка,Железнодорожная улица,43,3,62.4,5.2472,5.3614,0.1142,False,True
w315618142,Хомутяновка,Железнодорожная улица,45,3,76.8,5.2472,5.3465,0.0993,False,True
w315618133,Хомутяновка,Железнодорожная улица,47,3,90.3,5.2472,5.3328,0.0856,False,True
w315618160,Хомутяновка,Железнодорожная улица,48,3,40.9,5.2472,5.4502,0.203,False,True
w315618131,Хомутяновка,Железнодорожная улица,49,3,92.1,5.0549,5.3175,0.2626,False,True
w315618161,Хомутяновка,Железнодорожная улица,50,3,57.7,5.2472,5.3664,0.1192,False,True
w315618129,Хомутяновка,Железнодорожная улица,51,3,78.1,5.0549,5.3038,0.2489,False,True
w315618165,Хомутяновка,Железнодорожная улица,52,3,74.5,5.2472,5.3488,0.1016,False,True
w184989544,Хомутяновка,Железнодорожная улица,52а,3,63.6,5.0789,5.7032,0.6243,True,True
w315425254,Хомутяновка,Железнодорожная улица,53,3,64.3,5.0549,5.289,0.2341,False,True
w315618154,Хомутяновка,Железнодорожная улица,54,3,93.6,5.2472,5.332,0.0848,False,True
w315425247,Хомутяновка,Железнодорожная улица,55,3,55.5,5.0549,5.2711,0.2162,False,True
w315618155,Хомутяновка,Железнодорожная улица,56,3,91.1,5.0549,5.3163,0.2614,False,True
w315425245,Хомутяновка,Железнодорожная улица,57,3,39.9,5.0549,5.2581,0.2032,False,True
w315425252,Хомутяновка,Железнодорожная улица,58,3,72.2,5.0549,5.2983,0.2434,False,True
w315425250,Хомутяновка,Железнодорожная улица,60,3,56.6,5.0549,5.2821,0.2272,False,True
w315425248,Хомутяновка,Железнодорожная улица,62,3,40.4,5.0549,5.2649,0.21,False,True
w315193170,Хомутяновка,Железнодорожная улица,63,3,33.6,5.0549,5.2539,0.199,False,True
w315193163,Хомутяновка,Железнодорожная улица,65,3,47.0,5.0549,5.1815,0.1266,False,True
w315193149,Хомутяновка,Железнодорожная улица,67,3,58.4,5.0549,5.1687,0.1138,False,True
w315425219,Хомутяновка,Железнодорожная улица,68,3,30.1,5.0549,5.2534,0.1985,False,True
w315193143,Хомутяновка,Железнодорожная улица,69,3,48.0,4.9438,5.1541,0.2103,False,True
w315425218,Хомутяновка,Железнодорожная улица,70,3,47.4,5.0549,5.1792,0.1243,False,True
w315108372,Хомутяновка,Железнодорожная улица,71,3,41.1,4.9438,5.1417,0.1979,False,True
w315193130,Хомутяновка,Железнодорожная улица,72,3,56.0,4.9438,5.1631,0.2193,False,True
w315108371,Хомутяновка,Железнодорожная улица,73,3,25.3,4.9438,5.1251,0.1813,False,True
w315193155,Хомутяновка,Железнодорожная улица,74,3,38.4,4.9438,5.1461,0.2023,False,True
w315108370,Хомутяновка,Железнодорожная улица,75,3,21.9,4.9438,5.1094,0.1656,False,True
w315108369,Хомутяновка,Железнодорожная улица,77,3,28.0,4.9438,5.0944,0.1506,False,True
w315193133,Хомутяновка,Железнодорожная улица,80,3,31.9,4.9438,5.0859,0.1421,False,True
w302074717,Хомутяновка,Железнодорожная улица,85,3,32.7,4.8803,5.0226,0.1423,False,True
w302074724,Хомутяновка,Железнодорожная улица,86,3,32.0,4.8803,5.0224,0.1421,False,True
w302074719,Хомутяновка,Железнодорожная улица,87,3,48.1,4.7932,5.0045,0.2113,False,True
w302074718,Хомутяновка,Железнодорожная улица,88,3,46.7,4.8803,5.0052,0.1249,False,True
w302074720,Хомутяновка,Железнодорожная улица,89,3,34.2,4.7932,4.9856,0.1924,False,True
w297019342,Хомутяновка,Железнодорожная улица,90,3,28.4,4.7932,4.9833,0.1901,False,True
w209287641,Хомутяновка,Железнодорожная улица,93,3,21.8,4.5741,4.8727,0.2986,False,True
w318406781,Хомутяновка,Железнодорожная улица,95,3,23.7,4.4214,4.6572,0.2358,False,True
w318406779,Хомутяновка,Железнодорожная улица,97а,3,20.6,4.4103,4.5702,0.1599,False,True
w209287691,Хомутяновка,Железнодорожная улица,98,3,33.1,4.6482,4.7993,0.1511,False,True
w209287682,Хомутяновка,Железнодорожная улица,100,3,12.9,4.5942,4.8288,0.2346,False,True
w302067664,Хомутяновка,Железнодорожная улица,102,3,29.9,4.5942,4.6443,0.0501,False,True
w302067666,Хомутяновка,Железнодорожная улица,104,3,20.4,4.4465,4.6275,0.181,False,True
w318406795,Хомутяновка,Железнодорожная улица,116,3,39.0,4.331,4.5334,0.2024,False,True
n2339105464,Хомутяновка,Железнодорожный тупик,2,3,27.6,4.9438,5.1385,0.1947,False,True
w315425256,Хомутяновка,Железнодорожный тупик,5,3,15.8,5.0204,5.179,0.1586,False,True
