address_id,street,house_number,router_distance_km,nearest_threshold_km,distance_to_threshold_m,provisional_zone,neighbor_zone_discontinuity,snap_risk,manual_review_required,reason
w305963632,улица Урицкого,10,2.4616,2.424,37.6,Zone 2,False,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w305963634,улица Урицкого,12,2.4747,2.424,50.7,Zone 2,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w305963635,улица Урицкого,12а,2.4994,2.424,75.4,Zone 2,False,False,True,WITHIN_100M_OF_THRESHOLD
w305963638,Донецкая улица,25,2.5575,2.424,133.5,Zone 2,True,False,True,NEIGHBOR_ZONE_DISCONTINUITY
w305964592,Донецкая улица,23,2.2423,2.424,181.7,Zone 1,True,False,True,NEIGHBOR_ZONE_DISCONTINUITY
w306078207,улица Будённого,1,5.5107,5.577,66.3,Zone 3,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w306078210,улица Будённого,3,5.5370,5.577,40.0,Zone 3,False,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w306078227,улица Фрунзе,143,5.4150,5.577,162.0,Zone 3,False,False,True,WITHIN_3_PERCENT_OF_THRESHOLD
w306078229,улица Фрунзе,141,5.4425,5.577,134.5,Zone 3,False,False,True,WITHIN_3_PERCENT_OF_THRESHOLD
w306081799,улица Фрунзе,137,5.4556,5.577,121.4,Zone 3,False,False,True,WITHIN_3_PERCENT_OF_THRESHOLD
w306081800,улица Фрунзе,135,5.4711,5.577,105.9,Zone 3,False,False,True,WITHIN_3_PERCENT_OF_THRESHOLD
w306081802,улица Фрунзе,133,5.4896,5.577,87.4,Zone 3,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w306081803,улица Фрунзе,139,5.4524,5.577,124.6,Zone 3,False,False,True,WITHIN_3_PERCENT_OF_THRESHOLD
