uid,address,territory,is_city,route_km,base_price,external_status,external_km,external_surcharge,reference_price,old_k4_zone_id,proposed_zone
n2322107953,"Бендеры, Фонтанная улица, 41",Бендеры,True,6.288,27.152,n/a (city),0.0,0.0,27.152,4,3
n2322107954,"Бендеры, Фонтанная улица, 24",Бендеры,True,6.368,27.472,n/a (city),0.0,0.0,27.472,4,3
n2322107955,"Бендеры, Фонтанная улица, 36",Бендеры,True,6.181,26.724,n/a (city),0.0,0.0,26.724,4,3
n2322107956,"Бендеры, Фонтанная улица, 59",Бендеры,True,6.191,26.764,n/a (city),0.0,0.0,26.764,4,3
n2322107957,"Бендеры, улица Герцена, 1",Бендеры,True,6.646,28.584,n/a (city),0.0,0.0,28.584,4,3
n2322112853,"Бендеры, улица Герцена, 17",Бендеры,True,6.527,28.108,n/a (city),0.0,0.0,28.108,4,3
n2322112854,"Бендеры, улица Богдана Хмельницкого, 2",Бендеры,True,6.434,27.736,n/a (city),0.0,0.0,27.736,4,3
n2322118077,"Бендеры, улица 12 Октября, 16",Бендеры,True,6.171,26.684,n/a (city),0.0,0.0,26.684,4,3
n2322118089,"Бендеры, улица 12 Октября, 86",Бендеры,True,4.968,21.872,n/a (city),0.0,0.0,21.872,3,2
n2322916164,"Бендеры, Садовая улица, 71",Бендеры,True,1.497,14.0,n/a (city),0.0,0.0,14.0,1,1
n2322916165,"Бендеры, Садовая улица, 73",Бендеры,True,1.532,14.0,n/a (city),0.0,0.0,14.0,1,1
n2322975402,"Бендеры, улица Пушкина, 66",Бендеры,True,1.686,14.0,n/a (city),0.0,0.0,14.0,1,1
n2322975403,"Бендеры, улица Горького, 7",Бендеры,True,1.688,14.0,n/a (city),0.0,0.0,14.0,1,1
n2323031531,"Бендеры, Коммунистическая улица, 138",Бендеры,True,1.492,14.0,n/a (city),0.0,0.0,14.0,1,1
n2323051089,"Бендеры, улица Калинина, 59",Бендеры,True,0.903,14.0,n/a (city),0.0,0.0,14.0,1,1
n2323051105,"Бендеры, улица Калинина, 49",Бендеры,True,0.71,14.0,n/a (city),0.0,0.0,14.0,1,1
n2323119091,"Бендеры, Комсомольская улица, 81",Бендеры,True,0.832,14.0,n/a (city),0.0,0.0,14.0,1,1
n2323152058,"Парканы, улица Горького, 1",Парканы,False,4.551,20.204,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152060,"Парканы, улица Горького, 126",Парканы,False,5.464,23.856,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152061,"Парканы, улица Горького, 128",Парканы,False,5.428,23.712,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152062,"Парканы, улица Будённого, 190",Парканы,False,5.748,24.992,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2323152063,"Парканы, улица Горького, 192",Парканы,False,5.785,25.14,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2323152064,"Парканы, улица Маяковского, 198",Парканы,False,5.654,24.616,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2323152065,"Парканы, улица Маяковского, 185",Парканы,False,5.691,24.764,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2323152066,"Парканы, улица Маяковского, 48",Парканы,False,5.684,24.736,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2323152068,"Парканы, Комсомольская улица, 175",Парканы,False,5.266,23.064,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152069,"Парканы, улица Маяковского, 1",Парканы,False,5.396,23.584,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152070,"Парканы, Комсомольская улица, 173",Парканы,False,5.191,22.764,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152072,"Парканы, улица Маяковского, 3",Парканы,False,5.443,23.772,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152073,"Парканы, улица Маяковского, 168",Парканы,False,5.508,24.032,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152075,"Парканы, улица Будённого, 24",Парканы,False,5.549,24.196,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2323152078,"Парканы, улица Котовского, 175",Парканы,False,5.396,23.584,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152080,"Парканы, улица Чкалова, 1",Парканы,False,4.378,19.512,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152081,"Парканы, улица Чкалова, 2",Парканы,False,4.384,19.536,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152082,"Парканы, улица Чкалова, 117",Парканы,False,5.25,23.0,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152083,"Парканы, улица Чкалова, 92",Парканы,False,5.227,22.908,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152090,"Парканы, улица Пушкина, 2",Парканы,False,3.325,15.3,PENDING (no ГАИ-post coords + boundary undecided),,,,2,
n2323152091,"Парканы, улица Пушкина, 1",Парканы,False,3.312,15.248,PENDING (no ГАИ-post coords + boundary undecided),,,,2,
n2323152094,"Парканы, Комсомольская улица, 1",Парканы,False,3.594,16.376,PENDING (no ГАИ-post coords + boundary undecided),,,,2,
n2323152095,"Парканы, Комсомольская улица, 20",Парканы,False,3.618,16.472,PENDING (no ГАИ-post coords + boundary undecided),,,,2,
n2323152097,"Парканы, улица Котовского, 2",Парканы,False,3.786,17.144,PENDING (no ГАИ-post coords + boundary undecided),,,,2,
n2323152098,"Парканы, улица Котовского, 1",Парканы,False,3.786,17.144,PENDING (no ГАИ-post coords + boundary undecided),,,,2,
n2323152099,"Парканы, улица Ворошилова, 2",Парканы,False,3.958,17.832,PENDING (no ГАИ-post coords + boundary undecided),,,,2,
n2323152107,"Парканы, Пионерская улица, 9",Парканы,False,5.004,22.016,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152108,"Парканы, Пионерская улица, 7",Парканы,False,4.922,21.688,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
