model_id,metric,method,k,zone_id,lower_bound,upper_bound,all_address_count,all_population_share,city_address_count,city_population_share,economic_scope,median_route_km,median_effective_km,median_taxi_reference,candidate_delivery_fee_rub,client_median_saving_rub,driver_median_gap_rub,boundary_instability_count,confidence,notes
CITY_K5R_business,fixed_origin_km,business_constrained(min_share=0.12),5,5,5.325,,,,702,0.1443,CITY_DEPLOYABLE,5.824,5.824,34.94,33,1.94,-3.06,970,CITY_CANDIDATE,city deployable; BALANCED fee shown (see zone-policy-prices for all 3)
CITY_K6R_quantile,fixed_origin_km,quantile,6,1,0.0,1.227,,,811,0.1667,CITY_DEPLOYABLE,0.925,,,,,,1423,CITY_CANDIDATE,city deployable (fixed-origin km; outside_km=0)
CITY_K6R_quantile,fixed_origin_km,quantile,6,2,1.227,2.058,,,811,0.1667,CITY_DEPLOYABLE,1.555,,,,,,1423,CITY_CANDIDATE,city deployable (fixed-origin km; outside_km=0)
CITY_K6R_quantile,fixed_origin_km,quantile,6,3,2.058,2.954,,,811,0.1667,CITY_DEPLOYABLE,2.354,,,,,,1423,CITY_CANDIDATE,city deployable (fixed-origin km; outside_km=0)
CITY_K6R_quantile,fixed_origin_km,quantile,6,4,2.954,4.354,,,811,0.1667,CITY_DEPLOYABLE,3.778,,,,,,1423,CITY_CANDIDATE,city deployable (fixed-origin km; outside_km=0)
CITY_K6R_quantile,fixed_origin_km,quantile,6,5,4.354,5.201,,,811,0.1667,CITY_DEPLOYABLE,4.718,,,,,,1423,CITY_CANDIDATE,city deployable (fixed-origin km; outside_km=0)
CITY_K6R_quantile,fixed_origin_km,quantile,6,6,5.201,,,,811,0.1667,CITY_DEPLOYABLE,5.742,,,,,,1423,CITY_CANDIDATE,city deployable (fixed-origin km; outside_km=0)
CITY_K6R_kmeans,fixed_origin_km,kmeans,6,1,0.0,1.162,,,707,0.1453,CITY_DEPLOYABLE,0.892,,,,,,1232,CITY_CANDIDATE,city deployable (fixed-origin km; outside_km=0)
CITY_K6R_kmeans,fixed_origin_km,kmeans,6,2,1.162,1.905,,,759,0.156,CITY_DEPLOYABLE,1.45,,,,,,1232,CITY_CANDIDATE,city deployable (fixed-origin km; outside_km=0)
CITY_K6R_kmeans,fixed_origin_km,kmeans,6,3,1.905,2.974,,,973,0.2,CITY_DEPLOYABLE,2.313,,,,,,1232,CITY_CANDIDATE,city deployable (fixed-origin km; outside_km=0)
