address_id,territory,district,street,house_number,lat,lon,fixed_origin_lat,fixed_origin_lon,fixed_origin_km,metric_source,legacy_expected_km,delta_fixed_minus_legacy_km,provenance
n2323031531,Бендеры,,Коммунистическая улица,138,46.81578,29.47444,46.82388,29.48313,1.492,central_km,1.828,-0.336,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2323051089,Бендеры,,улица Калинина,59,46.82018,29.47862,46.82388,29.48313,0.903,central_km,1.232,-0.329,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2323051105,Бендеры,,улица Калинина,49,46.82158,29.47929,46.82388,29.48313,0.71,central_km,1.039,-0.329,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2323119091,Бендеры,,Комсомольская улица,81,46.81959,29.48393,46.82388,29.48313,0.832,central_km,1.153,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2323152058,Парканы,,улица Горького,1,46.83546,29.52788,46.82388,29.48313,4.551,central_km,4.587,-0.036,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2323152060,Парканы,,улица Горького,126,46.82732,29.5293,46.82388,29.48313,5.464,central_km,5.499,-0.035,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2323152061,Парканы,,улица Горького,128,46.82683,29.52937,46.82388,29.48313,5.428,central_km,5.464,-0.036,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2323152062,Парканы,,улица Будённого,190,46.82228,29.52881,46.82388,29.48313,5.748,central_km,5.784,-0.036,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2323152063,Парканы,,улица Горького,192,46.82194,29.52874,46.82388,29.48313,5.785,central_km,5.821,-0.036,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2323152064,Парканы,,улица Маяковского,198,46.82153,29.52871,46.82388,29.48313,5.654,central_km,5.69,-0.036,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2323152065,Парканы,,улица Маяковского,185,46.82154,29.52921,46.82388,29.48313,5.691,central_km,5.726,-0.035,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2323152066,Парканы,,улица Маяковского,48,46.82124,29.52915,46.82388,29.48313,5.684,central_km,5.719,-0.035,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2323152068,Парканы,,Комсомольская улица,175,46.82079,29.52416,46.82388,29.48313,5.266,central_km,5.302,-0.036,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
