address_id,territory,district,street,house_number,lat,lon,route_km,route_duration_min,route_metric_status,in_city_km,outside_city_km,outside_split_status,boundary_anchor_id,effective_km_1667,taxi_model_a_reference_rub,taxi_model_b_reference_rub,driver_take_fixed_a_rub,driver_take_percent_a_rub,driver_best_taxi_take_a_rub,current_zone_id,data_confidence,evidence_notes
w302074753,Бендеры,,Треугольный переулок,1,46.8239,29.46471,5.027,,expected_km_osrm,5.027,0.0,CITY_ALL_IN,,5.027,30.16,30.16,25.16,19.6,25.16,3,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302074755,Бендеры,,Треугольный переулок,3,46.82439,29.46375,4.937,,expected_km_osrm,4.937,0.0,CITY_ALL_IN,,4.937,29.62,29.62,24.62,19.25,24.62,3,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302141408,Бендеры,,Дубоссарская улица,25,46.81612,29.46911,2.743,,expected_km_osrm,2.743,0.0,CITY_ALL_IN,,2.743,18.0,18.0,13.0,11.7,13.0,2,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302141409,Бендеры,,Дубоссарская улица,27,46.81606,29.46929,2.758,,expected_km_osrm,2.758,0.0,CITY_ALL_IN,,2.758,18.0,18.0,13.0,11.7,13.0,2,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302141410,Бендеры,,Дубоссарская улица,26,46.81573,29.46931,2.758,,expected_km_osrm,2.758,0.0,CITY_ALL_IN,,2.758,18.0,18.0,13.0,11.7,13.0,2,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302364396,Бендеры,,улица Няги,17,46.81094,29.48837,2.352,,expected_km_osrm,2.352,0.0,CITY_ALL_IN,,2.352,18.0,18.0,13.0,11.7,13.0,1,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302364398,Бендеры,,улица Няги,11,46.81064,29.48809,2.313,,expected_km_osrm,2.313,0.0,CITY_ALL_IN,,2.313,18.0,18.0,13.0,11.7,13.0,1,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302364399,Бендеры,,улица Няги,9,46.81034,29.48811,2.364,,expected_km_osrm,2.364,0.0,CITY_ALL_IN,,2.364,18.0,18.0,13.0,11.7,13.0,1,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302364401,Бендеры,,улица Няги,5,46.81048,29.48746,2.253,,expected_km_osrm,2.253,0.0,CITY_ALL_IN,,2.253,18.0,18.0,13.0,11.7,13.0,1,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302364406,Бендеры,,улица Няги,2,46.81053,29.48492,2.2,,expected_km_osrm,2.2,0.0,CITY_ALL_IN,,2.2,18.0,18.0,13.0,11.7,13.0,1,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302364407,Бендеры,,улица Няги,4,46.81049,29.48512,2.184,,expected_km_osrm,2.184,0.0,CITY_ALL_IN,,2.184,18.0,18.0,13.0,11.7,13.0,1,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302364414,Бендеры,,улица Няги,14,46.81033,29.48716,2.241,,expected_km_osrm,2.241,0.0,CITY_ALL_IN,,2.241,18.0,18.0,13.0,11.7,13.0,1,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302364419,Бендеры,,Садовая улица,81,46.81031,29.48594,2.162,,expected_km_osrm,2.162,0.0,CITY_ALL_IN,,2.162,18.0,18.0,13.0,11.7,13.0,1,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302364425,Бендеры,,Садовая улица,84,46.81013,29.48553,2.183,,expected_km_osrm,2.183,0.0,CITY_ALL_IN,,2.183,18.0,18.0,13.0,11.7,13.0,1,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302364429,Бендеры,,Садовая улица,85,46.81,29.48618,2.206,,expected_km_osrm,2.206,0.0,CITY_ALL_IN,,2.206,18.0,18.0,13.0,11.7,13.0,1,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302364432,Бендеры,,Садовая улица,88,46.80984,29.48548,2.209,,expected_km_osrm,2.209,0.0,CITY_ALL_IN,,2.209,18.0,18.0,13.0,11.7,13.0,1,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302364433,Бендеры,,улица Толбухина,15,46.8103,29.4845,2.203,,expected_km_osrm,2.203,0.0,CITY_ALL_IN,,2.203,18.0,18.0,13.0,11.7,13.0,1,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302364434,Бендеры,,Октябрьская улица,1,46.81011,29.48444,2.23,,expected_km_osrm,2.23,0.0,CITY_ALL_IN,,2.23,18.0,18.0,13.0,11.7,13.0,1,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302364509,Бендеры,,Октябрьская улица,1а,46.80998,29.48449,2.244,,expected_km_osrm,2.244,0.0,CITY_ALL_IN,,2.244,18.0,18.0,13.0,11.7,13.0,1,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302364514,Бендеры,,улица Толбухина,4,46.81126,29.4849,2.095,,expected_km_osrm,2.095,0.0,CITY_ALL_IN,,2.095,18.0,18.0,13.0,11.7,13.0,1,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302365003,Бендеры,,Песчанная улица,18,46.81153,29.48449,2.475,,expected_km_osrm,2.475,0.0,CITY_ALL_IN,,2.475,18.0,18.0,13.0,11.7,13.0,2,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302365004,Бендеры,,Песчанная улица,16,46.81162,29.48416,2.454,,expected_km_osrm,2.454,0.0,CITY_ALL_IN,,2.454,18.0,18.0,13.0,11.7,13.0,2,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302365005,Бендеры,,Песчанная улица,14,46.81171,29.48401,2.441,,expected_km_osrm,2.441,0.0,CITY_ALL_IN,,2.441,18.0,18.0,13.0,11.7,13.0,2,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302365006,Бендеры,,Песчанный переулок,2,46.81137,29.48356,2.471,,expected_km_osrm,2.471,0.0,CITY_ALL_IN,,2.471,18.0,18.0,13.0,11.7,13.0,2,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302365009,Бендеры,,Песчанный переулок,1,46.81124,29.48387,2.483,,expected_km_osrm,2.483,0.0,CITY_ALL_IN,,2.483,18.0,18.0,13.0,11.7,13.0,2,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302365010,Бендеры,,Песчанный переулок,3,46.81111,29.48397,2.497,,expected_km_osrm,2.497,0.0,CITY_ALL_IN,,2.497,18.0,18.0,13.0,11.7,13.0,2,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302365020,Бендеры,,Садовая улица,87,46.80989,29.48598,2.216,,expected_km_osrm,2.216,0.0,CITY_ALL_IN,,2.216,18.0,18.0,13.0,11.7,13.0,1,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302365080,Бендеры,,Песчанный переулок,14,46.80997,29.48371,2.269,,expected_km_osrm,2.269,0.0,CITY_ALL_IN,,2.269,18.0,18.0,13.0,11.7,13.0,1,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302365081,Бендеры,,Октябрьская улица,3,46.80987,29.48447,2.651,,expected_km_osrm,2.651,0.0,CITY_ALL_IN,,2.651,18.0,18.0,13.0,11.7,13.0,2,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302365816,Бендеры,,Песчанная улица,15а,46.81201,29.48338,2.386,,expected_km_osrm,2.386,0.0,CITY_ALL_IN,,2.386,18.0,18.0,13.0,11.7,13.0,1,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302365817,Бендеры,,Песчанная улица,15,46.81197,29.48364,2.406,,expected_km_osrm,2.406,0.0,CITY_ALL_IN,,2.406,18.0,18.0,13.0,11.7,13.0,1,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302365820,Бендеры,,Песчанная улица,13,46.8121,29.48307,2.361,,expected_km_osrm,2.361,0.0,CITY_ALL_IN,,2.361,18.0,18.0,13.0,11.7,13.0,1,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302366061,Бендеры,,Песчанная улица,11,46.81218,29.48258,2.322,,expected_km_osrm,2.322,0.0,CITY_ALL_IN,,2.322,18.0,18.0,13.0,11.7,13.0,1,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302366063,Бендеры,,Песчанная улица,13а,46.81218,29.48285,2.342,,expected_km_osrm,2.342,0.0,CITY_ALL_IN,,2.342,18.0,18.0,13.0,11.7,13.0,1,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302366065,Бендеры,,Песчанная улица,9,46.81256,29.48251,2.322,,expected_km_osrm,2.322,0.0,CITY_ALL_IN,,2.322,18.0,18.0,13.0,11.7,13.0,1,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302366068,Бендеры,,Песчанная улица,7,46.8122,29.48231,2.308,,expected_km_osrm,2.308,0.0,CITY_ALL_IN,,2.308,18.0,18.0,13.0,11.7,13.0,1,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302366069,Бендеры,,Песчанная улица,1,46.81224,29.48156,2.243,,expected_km_osrm,2.243,0.0,CITY_ALL_IN,,2.243,18.0,18.0,13.0,11.7,13.0,1,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302366070,Бендеры,,Песчанная улица,3а,46.81218,29.48174,2.258,,expected_km_osrm,2.258,0.0,CITY_ALL_IN,,2.258,18.0,18.0,13.0,11.7,13.0,1,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
