address_id,territory,street,house_number,lat,lon,source_object_type,normalized_object_type,deliverable_address_status,exclusion_reason,manual_review_required
n2323051105,Бендеры,улица Калинина,49,46.82158,29.47929,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323119091,Бендеры,Комсомольская улица,81,46.81959,29.48393,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152058,Парканы,улица Горького,1,46.83546,29.52788,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152060,Парканы,улица Горького,126,46.82732,29.5293,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152061,Парканы,улица Горького,128,46.82683,29.52937,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152062,Парканы,улица Будённого,190,46.82228,29.52881,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152063,Парканы,улица Горького,192,46.82194,29.52874,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152064,Парканы,улица Маяковского,198,46.82153,29.52871,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152065,Парканы,улица Маяковского,185,46.82154,29.52921,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152066,Парканы,улица Маяковского,48,46.82124,29.52915,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152068,Парканы,Комсомольская улица,175,46.82079,29.52416,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152069,Парканы,улица Маяковского,1,46.82089,29.52545,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152070,Парканы,Комсомольская улица,173,46.82134,29.52356,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152072,Парканы,улица Маяковского,3,46.82101,29.52604,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152073,Парканы,улица Маяковского,168,46.82126,29.52682,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152075,Парканы,улица Будённого,24,46.82169,29.52634,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152078,Парканы,улица Котовского,175,46.82162,29.52458,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152080,Парканы,улица Чкалова,1,46.83521,29.52561,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152081,Парканы,улица Чкалова,2,46.8351,29.52526,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152082,Парканы,улица Чкалова,117,46.82712,29.52764,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152083,Парканы,улица Чкалова,92,46.82769,29.52722,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152090,Парканы,улица Пушкина,2,46.83498,29.51208,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152091,Парканы,улица Пушкина,1,46.83489,29.51173,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152094,Парканы,Комсомольская улица,1,46.83525,29.51532,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152095,Парканы,Комсомольская улица,20,46.83528,29.51582,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152097,Парканы,улица Котовского,2,46.83517,29.51737,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152098,Парканы,улица Котовского,1,46.83521,29.51788,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152099,Парканы,улица Ворошилова,2,46.83514,29.5196,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152107,Парканы,Пионерская улица,9,46.82795,29.52541,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152108,Парканы,Пионерская улица,7,46.82771,29.52439,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152109,Парканы,улица Ворошилова,95,46.8276,29.52373,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152111,Парканы,Пионерская улица,32,46.82736,29.52431,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152112,Парканы,улица Ворошилова,97,46.82729,29.52388,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152115,Парканы,улица Фрунзе,122,46.82355,29.52706,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152117,Парканы,улица Ворошилова,25,46.8333,29.52088,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152118,Парканы,улица Ворошилова,27,46.833,29.52103,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152119,Парканы,улица Ворошилова,30,46.8332,29.52032,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152120,Парканы,улица Ворошилова,32а,46.83278,29.52056,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152121,Парканы,улица Ворошилова,90,46.82765,29.52317,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152122,Парканы,Пионерская улица,5,46.82704,29.5219,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152123,Парканы,улица Котовского,101,46.82697,29.52142,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152124,Парканы,улица Ворошилова,92,46.82724,29.52363,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152125,Парканы,Пионерская улица,30,46.82714,29.52316,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152126,Парканы,Пионерская улица,28,46.82684,29.52209,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152127,Парканы,улица Котовского,103,46.82663,29.52163,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152128,Парканы,улица Ворошилова,141,46.82332,29.52652,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152130,Парканы,улица Будённого,155,46.82212,29.52715,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152131,Парканы,улица Ворошилова,157,46.82188,29.52721,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323152132,Парканы,улица Маяковского,165,46.82127,29.52726,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
