uid,address,territory,status,canonical_route_km,route_km,route_km_duration_opt,straight_km,crosses_checkpoint,external_km,base_price,external_surcharge,reference_price,internal_zone,routing_status,old_k4_zone_id
w293173073,"Бендеры, улица Горького, 1",Бендеры,routed,1.792,1.7918,1.7918,1.188,False,0.0,14.0,0.0,14.0,1,routed,1
w293173075,"Бендеры, улица Горького, 3",Бендеры,routed,1.767,1.7671,1.7671,1.162,False,0.0,14.0,0.0,14.0,1,routed,1
w293173091,"Бендеры, улица Дзержинского, 56",Бендеры,routed,1.637,1.6371,1.6371,1.11,False,0.0,14.0,0.0,14.0,1,routed,1
w293173092,"Бендеры, улица Дзержинского, 60",Бендеры,routed,1.669,1.6691,1.6691,1.128,False,0.0,14.0,0.0,14.0,1,routed,1
w293173094,"Бендеры, улица Дзержинского, 58а",Бендеры,routed,1.651,1.6511,1.6511,1.114,False,0.0,14.0,0.0,14.0,1,routed,1
w293173095,"Бендеры, улица Сергея Лазо, 51",Бендеры,routed,0.982,0.9813,0.9813,0.165,False,0.0,14.0,0.0,14.0,1,routed,1
w293173097,"Бендеры, улица Сергея Лазо, 63",Бендеры,routed,0.572,0.5722,0.5722,0.244,False,0.0,14.0,0.0,14.0,1,routed,1
w293173098,"Бендеры, улица Сергея Лазо, 61",Бендеры,routed,0.588,0.5878,0.5878,0.253,False,0.0,14.0,0.0,14.0,1,routed,1
w293173105,"Бендеры, улица Сергея Лазо, 59",Бендеры,routed,0.6,0.5998,0.5998,0.252,False,0.0,14.0,0.0,14.0,1,routed,1
w293713540,"Бендеры, Комсомольская улица, 97",Бендеры,routed,0.708,0.7081,0.7081,0.626,False,0.0,14.0,0.0,14.0,1,routed,1
w293713542,"Бендеры, Комсомольская улица, 78",Бендеры,routed,1.078,1.0783,1.0783,0.646,False,0.0,14.0,0.0,14.0,1,routed,1
w293713543,"Бендеры, улица Калинина, 66",Бендеры,routed,0.813,0.8125,0.8125,0.495,False,0.0,14.0,0.0,14.0,1,routed,1
w293713544,"Бендеры, Коммунистическая улица, 52",Бендеры,routed,0.542,0.541,0.541,0.473,False,0.0,14.0,0.0,14.0,1,routed,1
w293713545,"Бендеры, Коммунистическая улица, 50",Бендеры,routed,0.552,0.5515,0.5515,0.461,False,0.0,14.0,0.0,14.0,1,routed,1
w293713877,"Бендеры, Коммунистическая улица, 56",Бендеры,routed,0.502,0.5024,0.5024,0.432,False,0.0,14.0,0.0,14.0,1,routed,1
w293713879,"Бендеры, улица Кирова, 43",Бендеры,routed,0.647,0.6466,0.6466,0.518,False,0.0,14.0,0.0,14.0,1,routed,1
w293713880,"Бендеры, улица Кирова, 39",Бендеры,routed,0.665,0.6655,0.6655,0.517,False,0.0,14.0,0.0,14.0,1,routed,1
w293713881,"Бендеры, улица Кирова, 41",Бендеры,routed,0.668,0.6675,0.6675,0.538,False,0.0,14.0,0.0,14.0,1,routed,1
